,Date,Time,Size,Price
0,"Sunday, July 4, 2021",11:50 PM EST,10.0,60
1,"Sunday, July 4, 2021",8:48 PM EST,12.0,84
2,"Thursday, July 1, 2021",8:57 PM EST,12.0,88
3,"Thursday, July 1, 2021",7:58 PM EST,10.5,80
4,"Thursday, July 1, 2021",7:55 PM EST,10.0,69
5,"Thursday, July 1, 2021",12:32 PM EST,11.5,80
6,"Wednesday, June 30, 2021",10:53 AM EST,11.0,83
7,"Tuesday, June 29, 2021",11:32 PM EST,9.0,90
8,"Tuesday, June 29, 2021",9:54 PM EST,11.5,84
9,"Tuesday, June 29, 2021",3:28 PM EST,9.5,75
10,"Tuesday, June 29, 2021",3:17 PM EST,9.5,76
11,"Sunday, June 27, 2021",10:39 PM EST,9.0,65
12,"Saturday, June 26, 2021",11:56 PM EST,11.0,79
13,"Friday, June 25, 2021",11:10 PM EST,12.0,79
14,"Friday, June 25, 2021",8:28 AM EST,10.0,60
15,"Friday, June 25, 2021",4:46 AM EST,12.0,75
16,"Thursday, June 24, 2021",6:46 PM EST,10.5,73
17,"Thursday, June 24, 2021",2:47 PM EST,10.0,65
18,"Thursday, June 24, 2021",2:45 PM EST,11.5,70
19,"Thursday, June 24, 2021",2:44 PM EST,10.0,70
20,"Thursday, June 24, 2021",2:43 PM EST,10.0,71
21,"Thursday, June 24, 2021",2:42 PM EST,11.5,75
22,"Thursday, June 24, 2021",2:01 PM EST,8.5,62
23,"Thursday, June 24, 2021",8:34 AM EST,10.0,102
24,"Wednesday, June 23, 2021",3:01 PM EST,13.0,92
25,"Wednesday, June 23, 2021",12:42 PM EST,10.5,79
26,"Tuesday, June 22, 2021",5:25 PM EST,12.0,66
27,"Tuesday, June 22, 2021",5:18 PM EST,11.0,71
28,"Monday, June 21, 2021",10:18 AM EST,11.0,86
29,"Sunday, June 20, 2021",7:19 PM EST,13.0,92
30,"Sunday, June 20, 2021",5:54 PM EST,8.0,80
31,"Saturday, June 19, 2021",6:41 PM EST,12.0,60
32,"Friday, June 18, 2021",10:58 AM EST,9.0,90
33,"Thursday, June 17, 2021",9:29 PM EST,11.0,75
34,"Thursday, June 17, 2021",11:08 AM EST,13.0,104
35,"Thursday, June 17, 2021",9:24 AM EST,11.0,87
36,"Thursday, June 17, 2021",5:08 AM EST,8.0,51
37,"Thursday, June 17, 2021",5:06 AM EST,8.0,43
38,"Wednesday, June 16, 2021",11:00 AM EST,11.0,86
39,"Tuesday, June 15, 2021",12:42 PM EST,10.5,91
40,"Tuesday, June 15, 2021",7:45 AM EST,10.0,107
41,"Monday, June 14, 2021",9:16 PM EST,8.0,60
42,"Sunday, June 13, 2021",2:11 AM EST,11.0,80
43,"Saturday, June 12, 2021",12:41 AM EST,12.0,74
44,"Saturday, June 12, 2021",9:45 PM EST,14.0,50
45,"Friday, June 11, 2021",9:08 PM EST,13.0,100
46,"Friday, June 11, 2021",9:47 AM EST,8.5,100
47,"Friday, June 11, 2021",9:41 AM EST,9.5,84
48,"Thursday, June 10, 2021",2:43 PM EST,10.5,70
49,"Thursday, June 10, 2021",2:10 PM EST,13.0,85
50,"Wednesday, June 9, 2021",11:26 PM EST,13.0,95
51,"Tuesday, June 8, 2021",1:45 PM EST,13.0,90
52,"Tuesday, June 8, 2021",10:53 AM EST,14.0,78
53,"Monday, June 7, 2021",8:40 PM EST,10.0,75
54,"Monday, June 7, 2021",3:28 AM EST,9.0,65
55,"Sunday, June 6, 2021",10:13 PM EST,9.5,98
56,"Saturday, June 5, 2021",8:18 AM EST,8.0,70
57,"Friday, June 4, 2021",7:53 PM EST,13.0,87
58,"Friday, June 4, 2021",3:47 PM EST,11.0,88
59,"Friday, June 4, 2021",2:19 PM EST,9.0,85
60,"Thursday, June 3, 2021",4:06 PM EST,13.0,87
61,"Thursday, June 3, 2021",4:02 PM EST,11.5,78
62,"Thursday, June 3, 2021",3:41 AM EST,9.0,88
63,"Wednesday, June 2, 2021",9:57 PM EST,9.5,76
64,"Wednesday, June 2, 2021",11:55 AM EST,10.5,84
65,"Wednesday, June 2, 2021",6:27 AM EST,9.5,84
66,"Tuesday, June 1, 2021",3:51 PM EST,8.0,87
67,"Tuesday, June 1, 2021",2:28 PM EST,9.0,123
68,"Tuesday, June 1, 2021",1:52 PM EST,11.5,73
69,"Tuesday, June 1, 2021",10:09 AM EST,13.0,87
70,"Monday, May 31, 2021",12:11 AM EST,13.0,80
71,"Monday, May 31, 2021",11:31 PM EST,12.0,60
72,"Monday, May 31, 2021",9:41 PM EST,8.5,62
73,"Monday, May 31, 2021",9:21 PM EST,11.0,70
74,"Monday, May 31, 2021",5:28 PM EST,12.0,75
75,"Monday, May 31, 2021",11:20 AM EST,14.0,100
76,"Sunday, May 30, 2021",10:36 PM EST,9.5,85
77,"Sunday, May 30, 2021",11:11 AM EST,11.0,123
78,"Saturday, May 29, 2021",10:51 AM EST,10.5,70
79,"Thursday, May 27, 2021",8:13 PM EST,9.5,77
80,"Thursday, May 27, 2021",4:41 PM EST,8.5,63
81,"Thursday, May 27, 2021",12:27 PM EST,11.5,73
82,"Wednesday, May 26, 2021",9:14 PM EST,11.0,81
83,"Wednesday, May 26, 2021",1:46 PM EST,11.0,87
84,"Tuesday, May 25, 2021",8:53 PM EST,9.5,89
85,"Monday, May 24, 2021",4:10 PM EST,12.0,79
86,"Sunday, May 23, 2021",2:24 PM EST,9.5,89
87,"Sunday, May 23, 2021",11:38 AM EST,11.0,110
88,"Sunday, May 23, 2021",11:37 AM EST,12.0,82
89,"Sunday, May 23, 2021",9:44 AM EST,9.0,67
90,"Saturday, May 22, 2021",4:45 PM EST,10.0,90
91,"Saturday, May 22, 2021",10:43 AM EST,14.0,82
92,"Thursday, May 20, 2021",6:50 PM EST,10.5,95
93,"Thursday, May 20, 2021",11:17 AM EST,8.5,126
94,"Wednesday, May 19, 2021",7:11 PM EST,10.0,92
95,"Wednesday, May 19, 2021",11:39 AM EST,9.5,126
96,"Tuesday, May 18, 2021",9:23 PM EST,14.0,120
97,"Tuesday, May 18, 2021",1:30 PM EST,8.0,75
98,"Tuesday, May 18, 2021",2:09 AM EST,8.5,110
99,"Tuesday, May 18, 2021",1:08 AM EST,11.0,90
100,"Monday, May 17, 2021",12:55 AM EST,11.0,90
101,"Monday, May 17, 2021",11:38 PM EST,7.0,145
102,"Monday, May 17, 2021",10:49 PM EST,10.0,75
103,"Monday, May 17, 2021",9:08 PM EST,7.0,101
104,"Monday, May 17, 2021",9:08 PM EST,7.5,146
105,"Monday, May 17, 2021",8:40 PM EST,10.0,91
106,"Monday, May 17, 2021",4:41 PM EST,9.5,129
107,"Monday, May 17, 2021",10:31 AM EST,12.0,98
108,"Monday, May 17, 2021",3:19 AM EST,9.0,85
109,"Sunday, May 16, 2021",8:37 PM EST,11.5,68
110,"Sunday, May 16, 2021",12:12 PM EST,12.0,88
111,"Sunday, May 16, 2021",10:04 AM EST,9.5,70
112,"Friday, May 14, 2021",11:26 PM EST,8.5,90
113,"Thursday, May 13, 2021",10:10 PM EST,10.5,89
114,"Thursday, May 13, 2021",10:04 PM EST,11.0,80
115,"Thursday, May 13, 2021",3:08 AM EST,14.0,100
116,"Wednesday, May 12, 2021",12:30 PM EST,8.0,75
117,"Wednesday, May 12, 2021",12:18 PM EST,8.5,90
118,"Tuesday, May 11, 2021",6:09 PM EST,7.5,160
119,"Tuesday, May 11, 2021",12:19 PM EST,10.0,128
120,"Monday, May 10, 2021",7:57 PM EST,9.5,93
121,"Sunday, May 9, 2021",12:53 PM EST,9.5,86
122,"Saturday, May 8, 2021",2:49 PM EST,10.5,88
123,"Saturday, May 8, 2021",9:14 AM EST,8.0,142
124,"Friday, May 7, 2021",5:01 PM EST,11.0,109
125,"Friday, May 7, 2021",2:15 PM EST,10.5,70
126,"Thursday, May 6, 2021",8:39 AM EST,10.0,105
127,"Wednesday, May 5, 2021",3:35 PM EST,12.0,92
128,"Wednesday, May 5, 2021",3:33 PM EST,10.5,80
129,"Wednesday, May 5, 2021",8:51 AM EST,9.5,98
130,"Tuesday, May 4, 2021",8:14 PM EST,14.0,86
131,"Tuesday, May 4, 2021",8:05 PM EST,13.0,87
132,"Tuesday, May 4, 2021",11:54 AM EST,8.5,99
133,"Monday, May 3, 2021",2:53 PM EST,10.0,109
134,"Monday, May 3, 2021",11:48 AM EST,13.0,90
135,"Monday, May 3, 2021",11:26 AM EST,10.0,95
136,"Monday, May 3, 2021",10:28 AM EST,11.0,80
137,"Sunday, May 2, 2021",8:38 PM EST,9.0,139
138,"Sunday, May 2, 2021",3:43 PM EST,10.0,121
139,"Saturday, May 1, 2021",9:20 PM EST,11.0,83
140,"Saturday, May 1, 2021",7:40 PM EST,12.0,129
141,"Saturday, May 1, 2021",3:58 PM EST,12.0,95
142,"Saturday, May 1, 2021",9:26 AM EST,8.0,80
143,"Saturday, May 1, 2021",9:05 AM EST,9.5,146
144,"Saturday, May 1, 2021",9:02 AM EST,8.0,136
145,"Saturday, May 1, 2021",8:04 AM EST,8.5,97
146,"Friday, April 30, 2021",10:11 PM EST,11.0,97
147,"Friday, April 30, 2021",6:36 AM EST,9.0,112
148,"Friday, April 30, 2021",6:17 AM EST,10.0,120
149,"Thursday, April 29, 2021",11:15 PM EST,12.0,90
150,"Thursday, April 29, 2021",5:55 PM EST,11.0,95
151,"Wednesday, April 28, 2021",5:19 PM EST,12.0,100
152,"Wednesday, April 28, 2021",1:15 PM EST,10.5,91
153,"Wednesday, April 28, 2021",12:37 PM EST,11.0,82
154,"Tuesday, April 27, 2021",11:10 PM EST,11.0,94
155,"Tuesday, April 27, 2021",6:58 PM EST,12.0,100
156,"Tuesday, April 27, 2021",3:16 PM EST,13.0,108
157,"Tuesday, April 27, 2021",3:12 PM EST,9.5,98
158,"Tuesday, April 27, 2021",2:12 PM EST,10.0,82
159,"Tuesday, April 27, 2021",10:14 AM EST,12.0,99
160,"Monday, April 26, 2021",4:34 PM EST,10.0,89
161,"Monday, April 26, 2021",7:16 AM EST,9.5,84
162,"Sunday, April 25, 2021",8:48 PM EST,13.0,107
163,"Sunday, April 25, 2021",8:29 PM EST,8.0,95
164,"Sunday, April 25, 2021",5:22 AM EST,11.0,98
165,"Saturday, April 24, 2021",10:04 PM EST,7.0,208
166,"Saturday, April 24, 2021",8:49 PM EST,12.0,113
167,"Saturday, April 24, 2021",5:13 PM EST,9.5,85
168,"Saturday, April 24, 2021",4:12 PM EST,12.0,75
169,"Saturday, April 24, 2021",2:15 PM EST,13.0,100
170,"Saturday, April 24, 2021",1:01 PM EST,11.0,82
171,"Saturday, April 24, 2021",11:53 AM EST,12.0,95
172,"Friday, April 23, 2021",11:22 PM EST,11.5,109
173,"Friday, April 23, 2021",10:07 PM EST,12.0,100
174,"Friday, April 23, 2021",9:37 PM EST,12.0,100
175,"Friday, April 23, 2021",1:19 PM EST,10.5,97
176,"Friday, April 23, 2021",8:42 AM EST,11.5,108
177,"Friday, April 23, 2021",8:22 AM EST,9.0,135
178,"Friday, April 23, 2021",2:19 AM EST,11.0,132
179,"Thursday, April 22, 2021",10:30 PM EST,10.0,90
180,"Thursday, April 22, 2021",3:17 PM EST,10.5,109
181,"Thursday, April 22, 2021",2:22 PM EST,9.5,129
182,"Thursday, April 22, 2021",12:56 PM EST,11.5,108
183,"Thursday, April 22, 2021",10:08 AM EST,9.5,94
184,"Thursday, April 22, 2021",3:21 AM EST,11.0,131
185,"Thursday, April 22, 2021",2:01 AM EST,9.0,126
186,"Wednesday, April 21, 2021",10:26 PM EST,7.0,196
187,"Wednesday, April 21, 2021",6:01 PM EST,9.5,121
188,"Wednesday, April 21, 2021",12:20 PM EST,12.0,100
189,"Tuesday, April 20, 2021",6:35 PM EST,13.0,110
190,"Tuesday, April 20, 2021",5:01 PM EST,11.0,80
191,"Tuesday, April 20, 2021",4:19 PM EST,9.5,99
192,"Tuesday, April 20, 2021",10:16 AM EST,9.5,90
193,"Monday, April 19, 2021",8:38 PM EST,12.0,98
194,"Monday, April 19, 2021",3:51 PM EST,13.0,111
195,"Monday, April 19, 2021",1:56 AM EST,9.5,113
196,"Sunday, April 18, 2021",5:29 PM EST,10.5,147
197,"Sunday, April 18, 2021",2:44 PM EST,10.0,76
198,"Sunday, April 18, 2021",2:44 PM EST,10.5,75
199,"Sunday, April 18, 2021",2:44 PM EST,11.0,80
200,"Sunday, April 18, 2021",2:43 PM EST,8.5,90
201,"Sunday, April 18, 2021",2:43 PM EST,8.0,80
202,"Sunday, April 18, 2021",2:43 PM EST,10.0,100
203,"Saturday, April 17, 2021",5:45 PM EST,10.5,100
204,"Saturday, April 17, 2021",5:28 PM EST,9.0,115
205,"Saturday, April 17, 2021",10:52 AM EST,9.5,115
206,"Saturday, April 17, 2021",9:06 AM EST,8.5,95
207,"Saturday, April 17, 2021",9:06 AM EST,9.5,105
208,"Saturday, April 17, 2021",9:06 AM EST,10.5,99
209,"Saturday, April 17, 2021",9:05 AM EST,11.0,91
210,"Saturday, April 17, 2021",9:05 AM EST,11.0,92
211,"Saturday, April 17, 2021",9:05 AM EST,12.0,100
212,"Friday, April 16, 2021",9:07 PM EST,11.5,115
213,"Friday, April 16, 2021",6:34 PM EST,10.5,159
214,"Friday, April 16, 2021",3:43 PM EST,11.5,100
215,"Thursday, April 15, 2021",6:46 PM EST,11.5,119
216,"Thursday, April 15, 2021",6:18 PM EST,12.0,124
217,"Thursday, April 15, 2021",2:00 PM EST,8.0,100
218,"Thursday, April 15, 2021",12:00 PM EST,12.0,125
219,"Thursday, April 15, 2021",11:16 AM EST,10.0,100
220,"Thursday, April 15, 2021",9:23 AM EST,13.0,125
221,"Thursday, April 15, 2021",8:57 AM EST,14.0,150
222,"Thursday, April 15, 2021",8:57 AM EST,13.0,112
223,"Thursday, April 15, 2021",8:50 AM EST,9.0,116
224,"Thursday, April 15, 2021",8:50 AM EST,9.0,128
225,"Thursday, April 15, 2021",4:54 AM EST,10.0,99
226,"Thursday, April 15, 2021",3:20 AM EST,10.5,128
227,"Wednesday, April 14, 2021",9:54 PM EST,10.0,140
228,"Wednesday, April 14, 2021",7:55 PM EST,12.0,130
229,"Wednesday, April 14, 2021",7:49 PM EST,10.5,99
230,"Wednesday, April 14, 2021",5:15 PM EST,8.0,105
231,"Wednesday, April 14, 2021",1:59 PM EST,9.0,130
232,"Wednesday, April 14, 2021",11:55 AM EST,12.0,135
233,"Wednesday, April 14, 2021",11:45 AM EST,12.0,168
234,"Wednesday, April 14, 2021",10:14 AM EST,10.0,145
235,"Wednesday, April 14, 2021",4:43 AM EST,8.5,145
236,"Tuesday, April 13, 2021",10:42 PM EST,11.5,105
237,"Tuesday, April 13, 2021",10:36 PM EST,10.5,128
238,"Tuesday, April 13, 2021",5:05 PM EST,12.0,125
239,"Tuesday, April 13, 2021",10:49 AM EST,9.5,140
240,"Tuesday, April 13, 2021",9:54 AM EST,14.0,150
241,"Monday, April 12, 2021",7:57 PM EST,12.0,140
242,"Sunday, April 11, 2021",7:27 PM EST,12.0,125
243,"Sunday, April 11, 2021",7:03 PM EST,9.0,135
244,"Sunday, April 11, 2021",7:02 PM EST,11.5,140
245,"Sunday, April 11, 2021",10:32 AM EST,10.0,125
246,"Sunday, April 11, 2021",1:13 AM EST,7.5,145
247,"Saturday, April 10, 2021",11:33 AM EST,14.0,149
248,"Friday, April 9, 2021",9:07 PM EST,11.5,149
249,"Friday, April 9, 2021",6:57 PM EST,13.0,160
250,"Saturday, April 24, 2021",10:04 PM EST,7.0,208
251,"Thursday, April 8, 2021",1:25 PM EST,7.0,201
252,"Wednesday, April 21, 2021",10:26 PM EST,7.0,196
253,"Monday, March 22, 2021",7:38 AM EST,8.5,192
254,"Thursday, February 4, 2021",7:43 AM EST,10.0,189
255,"Sunday, April 4, 2021",10:05 PM EST,12.0,185
256,"Wednesday, April 7, 2021",9:32 AM EST,9.5,181
257,"Thursday, March 25, 2021",1:58 AM EST,11.0,179
258,"Thursday, April 8, 2021",11:20 AM EST,10.5,178
259,"Friday, April 2, 2021",5:27 PM EST,10.5,176
260,"Thursday, April 1, 2021",5:57 PM EST,10.5,175
261,"Tuesday, April 6, 2021",3:43 AM EST,7.0,171
262,"Monday, March 29, 2021",12:10 AM EST,11.0,170
263,"Sunday, March 28, 2021",9:07 AM EST,10.5,168
264,"Wednesday, April 14, 2021",11:45 AM EST,12.0,168
265,"Thursday, April 8, 2021",2:58 PM EST,12.0,164
266,"Tuesday, May 11, 2021",6:09 PM EST,7.5,160
267,"Friday, April 9, 2021",6:57 PM EST,13.0,160
268,"Thursday, April 8, 2021",11:30 PM EST,13.0,159
269,"Friday, April 16, 2021",6:34 PM EST,10.5,159
270,"Friday, April 2, 2021",7:46 PM EST,11.0,156
